item,itemLabel,parti,partiLabel
http://www.wikidata.org/entity/Q120689,Rudolf Strahm,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q121299,Franz Steinegger,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q121815,Walter Glur,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q1684788,Jean-Claude Zwahlen,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1685106,Jean-Nils de Dardel,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1707303,Joseph Iten,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1715531,Pierre Triponez,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1793229,Roland Wiederkehr,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q758134,Attilio Bignasca,http://www.wikidata.org/entity/Q668101,Ticino League
http://www.wikidata.org/entity/Q55741049,Ursula Hafner,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q65101293,Fredi Alder,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q66088654,Hanna Sahlfeld-Singer,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1944791,Monika Weber,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q2039735,Otto Laubacher,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q2059910,Paul Günter,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q2059910,Paul Günter,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q1238188,Dominique Ducret,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q2544304,Walter Frey,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q2546433,Walter Straumann,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
