p,propLabel,eff
http://www.wikidata.org/prop/direct/P4759,Luminous-Lint ID,1
http://www.wikidata.org/prop/direct/P4772,compArt person ID,1
http://www.wikidata.org/prop/direct/P4992,DBA ID,1
http://www.wikidata.org/prop/direct/P5271,Saint Louis Art Museum person ID,1
http://www.wikidata.org/prop/direct/P5617,Evene ID,1
http://www.wikidata.org/prop/direct/P5421,Trading Card Database person ID,1
http://www.wikidata.org/prop/direct/P5419,NYRB contributor ID,1
http://www.wikidata.org/prop/direct/P5489,artist-info artist ID,1
http://www.wikidata.org/prop/direct/P5570,NooSFere author ID,1
http://www.wikidata.org/prop/direct/P5597,Artcyclopedia artist ID,1
http://www.wikidata.org/prop/direct/P5882,Muziekweb performer ID,1
http://www.wikidata.org/prop/direct/P6002,WikiArt ID,1
http://www.wikidata.org/prop/direct/P6178,Dimensions author ID,1
http://www.wikidata.org/prop/direct/P6295,ARTIC artist ID,1
http://www.wikidata.org/prop/direct/P6578,MutualArt artist ID,1
http://www.wikidata.org/prop/direct/P6645,Stedelijk Museum Amsterdam ID,1
http://www.wikidata.org/prop/direct/P6385,Krugosvet article,1
http://www.wikidata.org/prop/direct/P6394,ELNET ID,1
http://www.wikidata.org/prop/direct/P6802,related image,1
http://www.wikidata.org/prop/direct/P6812,AntWiki article ID,1
http://www.wikidata.org/prop/direct/P6821,Uppsala University Alvin ID,1
http://www.wikidata.org/prop/direct/P6844,abART person ID,1
http://www.wikidata.org/prop/direct/P6698,Japan Search name ID,1
http://www.wikidata.org/prop/direct/P7502,Golden ID,1
http://www.wikidata.org/prop/direct/P7666,Visuotinė lietuvių enciklopedija ID,1
http://www.wikidata.org/prop/direct/P7847,DigitaltMuseum ID,1
http://www.wikidata.org/prop/direct/P7918,Médias 19 ID,1
http://www.wikidata.org/prop/direct/P7800,bauhaus.community ID,1
http://www.wikidata.org/prop/direct/P8214,curriculum vitae URL,1
http://www.wikidata.org/prop/direct/P8235,LiederNet composer ID,1
http://www.wikidata.org/prop/direct/P8317,Philadelphia Museum of Art entity ID,1
http://www.wikidata.org/prop/direct/P8547,BHF author ID,1
http://www.wikidata.org/prop/direct/P9049,ICCD agent ID,1
http://www.wikidata.org/prop/direct/P9081,SEARCH on line catalogue ID,1
http://www.wikidata.org/prop/direct/P8854,Salzburgwiki ID,1
http://www.wikidata.org/prop/direct/P8879,Kinorium person ID,1
http://www.wikidata.org/prop/direct/P9415,ÖCV Biolex ID,1
http://www.wikidata.org/prop/direct/P9212,Dizionario biografico online degli anarchici italiani ID,1
http://www.wikidata.org/prop/direct/P8990,World Rowing UUID,1
http://www.wikidata.org/prop/direct/P8992,1914-1918-Online ID,1
http://www.wikidata.org/prop/direct/P9463,MovieMeter person ID,1
http://www.wikidata.org/prop/direct/P9534,Biblioteche della Custodia di Terra Santa a Gerusalemme ID,1
http://www.wikidata.org/prop/direct/P9670,ZKM person ID,1
http://www.wikidata.org/prop/direct/P9682,Gutenberg Biographics ID,1
http://www.wikidata.org/prop/direct/P9556,LTit person ID,1
http://www.wikidata.org/prop/direct/P9627,Romanistenlexikon ID,1
http://www.wikidata.org/prop/direct/P9791,ASEE person ID,1
http://www.wikidata.org/prop/direct/P9871,INAPP author ID,1
http://www.wikidata.org/prop/direct/P9885,Bing entity ID,1
http://www.wikidata.org/prop/direct/P9880,Festivaletteratura person ID,1
http://www.wikidata.org/prop/direct/P10031,Enciclopedia di Roma person ID,1
http://www.wikidata.org/prop/direct/P10069,Tabakalera ID,1
http://www.wikidata.org/prop/direct/P10297,Google Arts & Culture entity ID,1
http://www.wikidata.org/prop/direct/P10372,Offizielle Deutsche Charts person ID,1
http://www.wikidata.org/prop/direct/P10227,National Library of Ireland ID,1
http://www.wikidata.org/prop/direct/P10480,symogih.org ID,1
http://www.wikidata.org/prop/direct/P10780,Radio France person ID,1
http://www.wikidata.org/prop/direct/P10861,Springer Nature person ID,1
http://www.wikidata.org/prop/direct/P10902,FirstCycling rider ID,1
http://www.wikidata.org/prop/direct/P10925,Galleria Recta artist ID,1
http://www.wikidata.org/prop/direct/P11825,LiteraturPort autorenlexikon ID,1
http://www.wikidata.org/prop/direct/P12385,Gran Enciclopèdia Catalana ID,1
http://www.wikidata.org/prop/direct/P12141,Fondazione Fiera ID,1
